Time,Tick,Junction,Mode,Phase,WaitingTime_s,NorthWait_s,SouthWait_s,EastWait_s,WestWait_s,QueueLength,VehicleCount,IsCorridor
2026-04-07T19:02:00,2,J3_3,rl,NS-Green,5.54,8.88,8.73,8.55,8.22,46.25,59,True
2026-04-07T19:02:00,3,J0_0,rl,NS-Green,6.73,11.05,10.43,10.24,10.13,51.51,63,True
2026-04-07T19:02:00,3,J0_1,rl,NS-Green,6.71,11.02,10.4,10.26,10.06,52.32,65,True
2026-04-07T19:02:00,3,J0_2,rl,NS-Green,6.26,10.27,9.69,9.62,9.34,53.77,67,True
2026-04-07T19:02:00,3,J0_3,rl,NS-Green,6.27,10.29,9.71,9.68,9.31,49.23,61,True
2026-04-07T19:02:00,3,J1_0,rl,NS-Green,16.84,17.0,16.26,15.87,15.71,61.28,75,False
2026-04-07T19:02:00,3,J1_1,rl,NS-Green,15.9,16.06,15.36,15.06,14.77,56.53,71,False
2026-04-07T19:02:00,3,J1_2,rl,NS-Green,15.99,16.15,15.44,15.23,14.79,54.96,67,False
2026-04-07T19:02:00,3,J1_3,rl,NS-Green,6.26,10.2,9.75,9.67,9.3,48.55,60,True
2026-04-07T19:02:00,3,J2_0,rl,NS-Green,15.52,15.56,15.09,14.63,14.48,61.1,76,False
2026-04-07T19:02:00,3,J2_1,rl,NS-Green,14.05,14.09,13.66,13.32,13.06,51.61,64,False
2026-04-07T19:02:00,3,J2_2,rl,NS-Green,14.81,14.85,14.4,14.11,13.7,53.17,68,False
2026-04-07T19:02:00,3,J2_3,rl,NS-Green,6.58,10.63,10.31,10.16,9.77,50.98,61,True
2026-04-07T19:02:00,3,J3_0,rl,NS-Green,15.88,15.8,15.53,14.96,14.81,54.64,67,False
2026-04-07T19:02:00,3,J3_1,rl,NS-Green,16.02,15.94,15.67,15.18,14.88,51.98,63,False
2026-04-07T19:02:00,3,J3_2,rl,NS-Green,14.47,14.4,14.15,13.78,13.38,52.93,65,False
2026-04-07T19:02:00,3,J3_3,rl,NS-Green,6.14,9.86,9.69,9.48,9.12,52.21,64,True
2026-04-07T19:02:00,4,J0_0,rl,NS-Green,6.89,11.3,10.67,10.47,10.37,57.41,70,True
2026-04-07T19:02:00,4,J0_1,rl,NS-Green,7.33,12.04,11.36,11.21,10.99,57.82,71,True
2026-04-07T19:02:00,4,J0_2,rl,NS-Green,7.36,12.08,11.39,11.31,10.98,57.7,70,True
2026-04-07T19:02:00,4,J0_3,rl,NS-Green,6.55,10.74,10.14,10.11,9.73,54.56,67,True
2026-04-07T19:02:00,4,J1_0,rl,NS-Green,16.52,16.69,15.96,15.57,15.42,64.89,79,False
2026-04-07T19:02:00,4,J1_1,rl,NS-Green,18.01,18.19,17.39,17.06,16.73,70.99,88,False
2026-04-07T19:02:00,4,J1_2,rl,NS-Green,16.95,17.12,16.37,16.14,15.68,54.9,66,False
2026-04-07T19:02:00,4,J1_3,rl,NS-Green,6.7,10.91,10.43,10.34,9.95,54.22,66,True
2026-04-07T19:02:00,4,J2_0,rl,NS-Green,18.57,18.61,18.05,17.5,17.32,68.19,84,False
2026-04-07T19:02:00,4,J2_1,rl,NS-Green,15.12,15.15,14.69,14.32,14.04,50.66,61,False
2026-04-07T19:02:00,4,J2_2,rl,NS-Green,17.27,17.31,16.79,16.45,15.97,59.95,74,False
2026-04-07T19:02:00,4,J2_3,rl,NS-Green,6.65,10.75,10.42,10.26,9.87,50.34,60,True
2026-04-07T19:02:00,4,J3_0,rl,NS-Green,15.89,15.81,15.54,14.98,14.83,54.74,66,False
2026-04-07T19:02:00,4,J3_1,rl,NS-Green,15.75,15.67,15.4,14.92,14.63,60.2,74,False
2026-04-07T19:02:00,4,J3_2,rl,NS-Green,13.18,13.12,12.89,12.56,12.19,46.23,54,False
2026-04-07T19:02:00,4,J3_3,rl,NS-Green,6.96,11.17,10.98,10.75,10.34,54.36,66,True
2026-04-07T19:02:00,5,J0_0,rl,NS-Green,6.6,10.83,10.22,10.03,9.93,50.19,59,True
2026-04-07T19:02:00,5,J0_1,rl,NS-Green,6.91,11.34,10.7,10.56,10.35,58.89,71,True
2026-04-07T19:02:00,5,J0_2,rl,NS-Green,6.77,11.11,10.48,10.4,10.1,51.18,60,True
2026-04-07T19:02:00,5,J0_3,rl,NS-Green,7.38,12.12,11.43,11.4,10.97,57.25,70,True
2026-04-07T19:02:00,5,J1_0,rl,NS-Green,16.7,16.87,16.14,15.74,15.59,65.0,78,False
2026-04-07T19:02:00,5,J1_1,rl,NS-Green,19.36,19.56,18.71,18.35,17.99,69.78,84,False
2026-04-07T19:02:00,5,J1_2,rl,NS-Green,16.13,16.29,15.58,15.36,14.92,55.72,67,False
2026-04-07T19:02:00,5,J1_3,rl,NS-Green,7.17,11.68,11.17,11.08,10.65,63.88,79,True
2026-04-07T19:02:00,5,J2_0,rl,NS-Green,16.29,16.33,15.83,15.35,15.2,59.02,69,False
2026-04-07T19:02:00,5,J2_1,rl,NS-Green,15.65,15.69,15.21,14.83,14.54,50.18,60,False
2026-04-07T19:02:00,5,J2_2,rl,NS-Green,17.4,17.45,16.92,16.58,16.1,62.51,76,False
2026-04-07T19:02:00,5,J2_3,rl,NS-Green,7.02,11.35,11.01,10.84,10.43,53.42,65,True
2026-04-07T19:02:00,5,J3_0,rl,NS-Green,16.56,16.48,16.2,15.61,15.45,57.34,70,False
2026-04-07T19:02:00,5,J3_1,rl,NS-Green,15.65,15.58,15.31,14.83,14.54,58.39,70,False
2026-04-07T19:02:00,5,J3_2,rl,NS-Green,14.85,14.77,14.52,14.14,13.73,54.75,68,False
2026-04-07T19:02:00,5,J3_3,rl,NS-Green,6.82,10.95,10.76,10.53,10.13,54.6,66,True
2026-04-07T19:02:00,6,J0_0,rl,NS-Green,6.49,10.64,10.04,9.86,9.76,51.64,62,True
2026-04-07T19:02:00,6,J0_1,rl,NS-Green,6.71,11.02,10.4,10.26,10.06,59.43,72,True
2026-04-07T19:02:00,6,J0_2,rl,NS-Green,7.5,12.31,11.61,11.52,11.19,70.0,88,True
2026-04-07T19:02:00,6,J0_3,rl,NS-Green,7.09,11.64,10.98,10.95,10.53,64.55,79,True
2026-04-07T19:02:00,6,J1_0,rl,NS-Green,18.24,18.43,17.62,17.2,17.02,71.01,87,False
2026-04-07T19:02:00,6,J1_1,rl,NS-Green,16.06,16.22,15.52,15.22,14.92,59.82,70,False
2026-04-07T19:02:00,6,J1_2,rl,NS-Green,15.55,15.71,15.02,14.81,14.39,57.83,70,False
2026-04-07T19:02:00,6,J1_3,rl,NS-Green,7.73,12.59,12.04,11.93,11.48,62.79,75,True
2026-04-07T19:02:00,6,J2_0,rl,NS-Green,16.72,16.77,16.26,15.76,15.6,65.45,80,False
2026-04-07T19:02:00,6,J2_1,rl,NS-Green,14.7,14.74,14.29,13.93,13.66,50.79,61,False
2026-04-07T19:02:00,6,J2_2,rl,NS-Green,16.72,16.76,16.25,15.92,15.46,52.76,62,False
2026-04-07T19:02:00,6,J2_3,rl,NS-Green,6.64,10.73,10.41,10.25,9.86,53.28,64,True
2026-04-07T19:02:00,6,J3_0,rl,NS-Green,14.77,14.7,14.45,13.92,13.78,53.55,64,False
2026-04-07T19:02:00,6,J3_1,rl,NS-Green,16.57,16.48,16.2,15.7,15.39,57.48,69,False
2026-04-07T19:02:00,6,J3_2,rl,NS-Green,15.82,15.74,15.47,15.07,14.63,52.24,62,False
2026-04-07T19:02:00,6,J3_3,rl,NS-Green,7.21,11.57,11.37,11.13,10.71,61.52,76,True
2026-04-07T19:02:00,7,J0_0,rl,NS-Green,15.49,15.76,14.87,14.6,14.45,57.48,70,False
2026-04-07T19:02:00,7,J0_1,rl,NS-Green,15.87,16.15,15.24,15.04,14.75,58.0,70,False
2026-04-07T19:02:00,7,J0_2,rl,NS-Green,16.94,17.23,16.26,16.13,15.67,61.63,72,False
2026-04-07T19:02:00,7,J0_3,rl,NS-Green,16.57,16.86,15.91,15.87,15.26,57.19,67,False
2026-04-07T19:02:00,7,J1_0,rl,NS-Green,18.34,18.52,17.71,17.28,17.11,65.54,78,False
2026-04-07T19:02:00,7,J1_1,rl,NS-Green,17.01,17.18,16.44,16.12,15.81,59.9,72,False
2026-04-07T19:02:00,7,J1_2,rl,NS-Green,15.82,15.97,15.28,15.06,14.63,55.5,66,False
2026-04-07T19:02:00,7,J1_3,rl,NS-Green,15.19,15.34,14.68,14.55,13.99,56.3,66,False
2026-04-07T19:02:00,7,J2_0,rl,NS-Green,17.17,17.22,16.69,16.19,16.02,60.18,71,False
2026-04-07T19:02:00,7,J2_1,rl,NS-Green,14.88,14.92,14.47,14.1,13.83,50.25,60,False
2026-04-07T19:02:00,7,J2_2,rl,NS-Green,15.27,15.31,14.84,14.54,14.12,55.49,67,False
2026-04-07T19:02:00,7,J2_3,rl,NS-Green,15.01,15.05,14.59,14.38,13.83,55.75,68,False
2026-04-07T19:02:00,7,J3_0,rl,NS-Green,14.24,14.17,13.93,13.43,13.29,47.39,56,False
2026-04-07T19:02:00,7,J3_1,rl,NS-Green,16.27,16.19,15.91,15.41,15.11,64.67,79,False
2026-04-07T19:02:00,7,J3_2,rl,NS-Green,15.93,15.85,15.58,15.17,14.74,58.63,72,False
2026-04-07T19:02:00,7,J3_3,rl,NS-Green,18.22,18.13,17.82,17.45,16.78,69.25,85,False
2026-04-07T19:02:00,8,J0_0,rl,NS-Green,16.26,16.55,15.61,15.33,15.17,59.57,72,False
2026-04-07T19:02:00,8,J0_1,rl,NS-Green,15.94,16.22,15.3,15.1,14.81,54.73,65,False
2026-04-07T19:02:00,8,J0_2,rl,NS-Green,16.19,16.47,15.54,15.42,14.98,54.86,65,False
2026-04-07T19:02:00,8,J0_3,rl,NS-Green,14.16,14.41,13.6,13.56,13.04,47.52,55,False
2026-04-07T19:02:00,8,J1_0,rl,NS-Green,20.38,20.59,19.69,19.21,19.02,77.23,95,False
2026-04-07T19:02:00,8,J1_1,rl,NS-Green,16.34,16.5,15.78,15.48,15.18,64.19,78,False
2026-04-07T19:02:00,8,J1_2,rl,NS-Green,15.27,15.42,14.75,14.55,14.13,50.07,59,False
2026-04-07T19:02:00,8,J1_3,rl,NS-Green,16.52,16.69,15.96,15.82,15.22,55.57,67,False
2026-04-07T19:02:00,8,J2_0,rl,NS-Green,18.85,18.9,18.32,17.77,17.59,67.73,83,False
2026-04-07T19:02:00,8,J2_1,rl,NS-Green,15.12,15.15,14.69,14.32,14.04,57.63,71,False
2026-04-07T19:02:00,8,J2_2,rl,NS-Green,16.96,17.0,16.48,16.15,15.69,57.72,70,False
2026-04-07T19:02:00,8,J2_3,rl,NS-Green,14.98,15.01,14.56,14.34,13.79,51.05,60,False
2026-04-07T19:02:00,8,J3_0,rl,NS-Green,13.82,13.75,13.52,13.03,12.9,46.83,56,False
2026-04-07T19:02:00,8,J3_1,rl,NS-Green,18.39,18.3,17.98,17.42,17.08,62.34,75,False
2026-04-07T19:02:00,8,J3_2,rl,NS-Green,18.13,18.04,17.73,17.27,16.77,61.85,75,False
2026-04-07T19:02:00,8,J3_3,rl,NS-Green,19.9,19.8,19.46,19.05,18.33,72.3,88,False
2026-04-07T19:02:00,9,J0_0,rl,NS-Green,15.21,15.48,14.6,14.34,14.19,55.52,66,False
2026-04-07T19:02:00,9,J0_1,rl,NS-Green,17.53,17.84,16.83,16.61,16.29,63.29,78,False
2026-04-07T19:02:00,9,J0_2,rl,NS-Green,14.72,14.98,14.14,14.03,13.62,50.6,60,False
2026-04-07T19:02:00,9,J0_3,rl,NS-Green,14.01,14.25,13.45,13.41,12.9,45.2,54,False
2026-04-07T19:02:00,9,J1_0,rl,NS-Green,19.71,19.9,19.04,18.57,18.39,72.92,87,False
2026-04-07T19:02:00,9,J1_1,rl,NS-Green,17.73,17.91,17.13,16.8,16.47,62.95,76,False
2026-04-07T19:02:00,9,J1_2,rl,NS-Green,15.15,15.31,14.64,14.43,14.02,52.44,64,False
2026-04-07T19:02:00,9,J1_3,rl,NS-Green,17.1,17.28,16.52,16.38,15.75,58.61,71,False
2026-04-07T19:02:00,9,J2_0,rl,NS-Green,18.1,18.15,17.6,17.06,16.89,64.74,77,False
2026-04-07T19:02:00,9,J2_1,rl,NS-Green,15.69,15.73,15.25,14.87,14.58,51.14,60,False
2026-04-07T19:02:00,9,J2_2,rl,NS-Green,15.2,15.24,14.77,14.48,14.06,55.44,66,False
2026-04-07T19:02:00,9,J2_3,rl,NS-Green,16.56,16.6,16.1,15.86,15.25,61.43,76,False
2026-04-07T19:02:00,9,J3_0,rl,NS-Green,15.06,14.99,14.73,14.2,14.05,50.8,62,False
2026-04-07T19:02:00,9,J3_1,rl,NS-Green,16.85,16.77,16.48,15.97,15.66,59.47,71,False
2026-04-07T19:02:00,9,J3_2,rl,NS-Green,17.41,17.32,17.03,16.58,16.11,61.77,74,False
2026-04-07T19:02:00,9,J3_3,rl,NS-Green,18.67,18.58,18.26,17.88,17.2,72.14,87,False
2026-04-07T19:02:00,10,J0_0,rl,NS-Green,14.01,14.26,13.45,13.21,13.07,44.98,52,False
2026-04-07T19:02:00,10,J0_1,rl,NS-Green,16.61,16.9,15.94,15.74,15.43,61.65,74,False
2026-04-07T19:02:00,10,J0_2,rl,NS-Green,14.42,14.67,13.84,13.73,13.34,48.45,58,False
2026-04-07T19:02:00,10,J0_3,rl,NS-Green,14.16,14.41,13.59,13.56,13.04,49.98,61,False
2026-04-07T19:02:00,10,J1_0,rl,NS-Green,17.83,18.01,17.22,16.81,16.64,62.25,73,False
2026-04-07T19:02:00,10,J1_1,rl,NS-Green,17.96,18.14,17.35,17.02,16.68,64.88,79,False
2026-04-07T19:02:00,10,J1_2,rl,NS-Green,14.35,14.5,13.86,13.67,13.28,56.18,68,False
2026-04-07T19:02:00,10,J1_3,rl,NS-Green,16.81,16.98,16.24,16.1,15.48,63.54,78,False
2026-04-07T19:02:00,10,J2_0,rl,NS-Green,16.63,16.67,16.17,15.68,15.52,58.98,70,False
2026-04-07T19:02:00,10,J2_1,rl,NS-Green,15.85,15.89,15.41,15.02,14.72,59.78,74,False
2026-04-07T19:02:00,10,J2_2,rl,NS-Green,17.61,17.65,17.11,16.77,16.29,68.74,86,False
2026-04-07T19:02:00,10,J2_3,rl,NS-Green,15.91,15.95,15.46,15.23,14.65,59.01,71,False
2026-04-07T19:02:00,10,J3_0,rl,NS-Green,14.83,14.76,14.5,13.98,13.84,51.11,62,False
2026-04-07T19:02:00,10,J3_1,rl,NS-Green,16.15,16.07,15.79,15.3,15.0,59.72,72,False
2026-04-07T19:02:00,10,J3_2,rl,NS-Green,15.64,15.56,15.3,14.9,14.47,56.63,67,False
2026-04-07T19:02:00,10,J3_3,rl,NS-Green,18.78,18.68,18.36,17.98,17.29,66.11,78,False
2026-04-07T19:02:00,11,J0_0,rl,NS-Green,13.46,13.69,12.92,12.68,12.56,48.17,59,False
2026-04-07T19:02:00,11,J0_1,rl,NS-Green,16.26,16.54,15.61,15.41,15.11,58.27,69,False
2026-04-07T19:02:00,11,J0_2,rl,NS-Green,12.71,12.93,12.2,12.11,11.76,43.97,52,False
2026-04-07T19:02:00,11,J0_3,rl,NS-Green,13.36,13.6,12.83,12.79,12.31,45.59,54,False
2026-04-07T19:02:00,11,J1_0,rl,NS-Green,15.47,15.63,14.95,14.58,14.44,54.33,64,False
2026-04-07T19:02:00,11,J1_1,rl,NS-Green,16.78,16.95,16.21,15.9,15.59,64.15,77,False
2026-04-07T19:02:00,11,J1_2,rl,NS-Green,19.39,19.58,18.73,18.47,17.93,70.81,88,False
2026-04-07T19:02:00,11,J1_3,rl,NS-Green,17.64,17.82,17.04,16.89,16.25,62.62,75,False
2026-04-07T19:02:00,11,J2_0,rl,NS-Green,17.4,17.44,16.91,16.4,16.23,64.57,79,False
2026-04-07T19:02:00,11,J2_1,rl,NS-Green,17.58,17.62,17.09,16.66,16.33,63.28,77,False
2026-04-07T19:02:00,11,J2_2,rl,NS-Green,18.03,18.08,17.53,17.18,16.68,70.35,85,False
2026-04-07T19:02:00,11,J2_3,rl,NS-Green,16.75,16.8,16.29,16.04,15.43,55.24,66,False
2026-04-07T19:02:00,11,J3_0,rl,NS-Green,14.4,14.32,14.08,13.57,13.43,46.16,55,False
2026-04-07T19:02:00,11,J3_1,rl,NS-Green,16.69,16.61,16.33,15.82,15.51,60.7,73,False
2026-04-07T19:02:00,11,J3_2,rl,NS-Green,19.67,19.57,19.23,18.73,18.19,70.19,87,False
2026-04-07T19:02:00,11,J3_3,rl,NS-Green,18.03,17.94,17.63,17.26,16.61,59.67,71,False
2026-04-07T19:02:00,12,J0_0,rl,NS-Green,15.7,15.98,15.07,14.8,14.65,59.98,75,False
2026-04-07T19:02:00,12,J0_1,rl,NS-Green,15.12,15.39,14.52,14.33,14.05,52.32,62,False
2026-04-07T19:02:00,12,J0_2,rl,NS-Green,13.94,14.19,13.38,13.28,12.9,51.91,64,False
2026-04-07T19:02:00,12,J0_3,rl,NS-Green,14.54,14.8,13.96,13.92,13.39,60.38,76,False
2026-04-07T19:02:00,12,J1_0,rl,NS-Green,16.44,16.61,15.88,15.5,15.34,63.93,79,False
2026-04-07T19:02:00,12,J1_1,rl,NS-Green,19.45,19.65,18.79,18.43,18.07,73.98,91,False
2026-04-07T19:02:00,12,J1_2,rl,NS-Green,20.81,21.02,20.1,19.82,19.25,74.79,91,False
2026-04-07T19:02:00,12,J1_3,rl,NS-Green,16.39,16.55,15.83,15.69,15.09,64.71,78,False
2026-04-07T19:02:00,12,J2_0,rl,NS-Green,16.83,16.87,16.36,15.86,15.7,64.0,77,False
2026-04-07T19:02:00,12,J2_1,rl,NS-Green,16.65,16.69,16.19,15.78,15.47,57.39,68,False
2026-04-07T19:02:00,12,J2_2,rl,NS-Green,18.18,18.22,17.67,17.32,16.82,66.9,80,False
2026-04-07T19:02:00,12,J2_3,rl,NS-Green,15.35,15.39,14.92,14.7,14.14,52.49,63,False
2026-04-07T19:02:00,12,J3_0,rl,NS-Green,13.42,13.35,13.12,12.65,12.52,52.16,64,False
2026-04-07T19:02:00,12,J3_1,rl,NS-Green,15.8,15.72,15.45,14.97,14.68,57.79,69,False
2026-04-07T19:02:00,12,J3_2,rl,NS-Green,15.35,15.27,15.01,14.62,14.2,58.33,68,False
2026-04-07T19:02:00,12,J3_3,rl,NS-Green,14.08,14.01,13.77,13.48,12.96,49.62,58,False
2026-04-07T19:02:00,13,J0_0,rl,NS-Green,15.9,16.18,15.27,14.99,14.84,54.03,64,False
2026-04-07T19:02:00,13,J0_1,rl,NS-Green,13.49,13.73,12.95,12.79,12.54,45.07,53,False
2026-04-07T19:02:00,13,J0_2,rl,NS-Green,14.01,14.26,13.45,13.35,12.96,51.66,62,False
2026-04-07T19:02:00,13,J0_3,rl,NS-Green,17.83,18.14,17.12,17.07,16.42,61.88,75,False
2026-04-07T19:02:00,13,J1_0,rl,NS-Green,17.58,17.76,16.99,16.57,16.41,61.97,74,False
2026-04-07T19:02:00,13,J1_1,rl,NS-Green,17.71,17.89,17.11,16.78,16.45,72.14,86,False
2026-04-07T19:02:00,13,J1_2,rl,NS-Green,16.18,16.34,15.63,15.41,14.96,56.39,64,False
2026-04-07T19:02:00,13,J1_3,rl,NS-Green,18.22,18.4,17.6,17.45,16.78,70.87,87,False
2026-04-07T19:02:00,13,J2_0,rl,NS-Green,20.74,20.79,20.15,19.54,19.35,80.7,101,False
2026-04-07T19:02:00,13,J2_1,rl,NS-Green,16.88,16.92,16.41,15.99,15.68,62.08,76,False
2026-04-07T19:02:00,13,J2_2,rl,NS-Green,15.62,15.66,15.18,14.88,14.45,55.82,65,False
2026-04-07T19:02:00,13,J2_3,rl,NS-Green,15.09,15.13,14.67,14.45,13.9,62.16,77,False
2026-04-07T19:02:00,13,J3_0,rl,NS-Green,15.27,15.19,14.93,14.39,14.24,54.34,66,False
2026-04-07T19:02:00,13,J3_1,rl,NS-Green,13.97,13.9,13.67,13.24,12.98,49.53,58,False
2026-04-07T19:02:00,13,J3_2,rl,NS-Green,16.64,16.56,16.28,15.85,15.39,62.55,76,False
2026-04-07T19:02:00,13,J3_3,rl,NS-Green,15.59,15.51,15.25,14.93,14.36,52.21,63,False
2026-04-07T19:02:00,14,J0_0,rl,NS-Green,14.4,14.66,13.83,13.57,13.44,50.18,60,False
2026-04-07T19:02:00,14,J0_1,rl,NS-Green,15.09,15.36,14.49,14.3,14.02,49.06,60,False
2026-04-07T19:02:00,14,J0_2,rl,NS-Green,18.32,18.64,17.58,17.45,16.94,62.59,78,False
2026-04-07T19:02:00,14,J0_3,rl,NS-Green,16.56,16.85,15.9,15.86,15.25,63.49,77,False
2026-04-07T19:02:00,14,J1_0,rl,NS-Green,17.71,17.89,17.11,16.69,16.52,66.08,80,False
2026-04-07T19:02:00,14,J1_1,rl,NS-Green,17.29,17.47,16.71,16.39,16.07,59.31,69,False
2026-04-07T19:02:00,14,J1_2,rl,NS-Green,17.68,17.85,17.08,16.84,16.35,64.12,79,False
2026-04-07T19:02:00,14,J1_3,rl,NS-Green,16.14,16.3,15.59,15.46,14.87,56.97,66,False
2026-04-07T19:02:00,14,J2_0,rl,NS-Green,18.04,18.09,17.54,17.01,16.83,66.17,77,False
2026-04-07T19:02:00,14,J2_1,rl,NS-Green,15.25,15.29,14.82,14.45,14.17,55.09,65,False
2026-04-07T19:02:00,14,J2_2,rl,NS-Green,18.77,18.82,18.25,17.88,17.36,75.73,95,False
2026-04-07T19:02:00,14,J2_3,rl,NS-Green,14.52,14.55,14.11,13.9,13.37,53.43,63,False
2026-04-07T19:02:00,14,J3_0,rl,NS-Green,14.35,14.28,14.04,13.53,13.39,50.34,60,False
2026-04-07T19:02:00,14,J3_1,rl,NS-Green,14.88,14.8,14.55,14.1,13.82,51.31,62,False
2026-04-07T19:02:00,14,J3_2,rl,NS-Green,16.4,16.31,16.04,15.62,15.17,56.17,66,False
2026-04-07T19:02:00,14,J3_3,rl,NS-Green,15.81,15.73,15.46,15.14,14.56,58.61,72,False
2026-04-07T19:02:00,15,J0_0,rl,NS-Green,16.08,16.36,15.44,15.16,15.01,56.74,70,False
2026-04-07T19:02:00,15,J0_1,rl,NS-Green,13.58,13.81,13.03,12.86,12.61,49.38,60,False
2026-04-07T19:02:00,15,J0_2,rl,NS-Green,15.38,15.65,14.77,14.65,14.23,56.19,66,False
2026-04-07T19:02:00,15,J0_3,rl,NS-Green,16.46,16.75,15.81,15.76,15.16,54.95,64,False
2026-04-07T19:02:00,15,J1_0,rl,NS-Green,18.43,18.62,17.81,17.37,17.2,71.56,87,False
2026-04-07T19:02:00,15,J1_1,rl,NS-Green,16.24,16.4,15.69,15.39,15.09,60.49,73,False
2026-04-07T19:02:00,15,J1_2,rl,NS-Green,18.06,18.24,17.45,17.2,16.71,68.02,83,False
2026-04-07T19:02:00,15,J1_3,rl,NS-Green,15.94,16.1,15.4,15.26,14.68,55.91,67,False
2026-04-07T19:02:00,15,J2_0,rl,NS-Green,16.16,16.2,15.7,15.23,15.07,64.8,78,False
2026-04-07T19:02:00,15,J2_1,rl,NS-Green,14.52,14.55,14.11,13.76,13.49,52.41,63,False
2026-04-07T19:02:00,15,J2_2,rl,NS-Green,17.8,17.85,17.3,16.96,16.47,69.62,83,False
2026-04-07T19:02:00,15,J2_3,rl,NS-Green,14.49,14.52,14.08,13.87,13.34,52.43,63,False
2026-04-07T19:02:00,15,J3_0,rl,NS-Green,16.13,16.05,15.78,15.21,15.05,52.57,64,False
2026-04-07T19:02:00,15,J3_1,rl,NS-Green,13.31,13.24,13.02,12.61,12.36,50.51,61,False
2026-04-07T19:02:00,15,J3_2,rl,NS-Green,16.92,16.84,16.55,16.12,15.65,64.86,80,False
2026-04-07T19:02:00,15,J3_3,rl,NS-Green,16.91,16.83,16.54,16.19,15.58,58.44,70,False
2026-04-07T19:02:00,16,J0_0,rl,NS-Green,15.89,16.16,15.25,14.97,14.82,59.2,72,False
2026-04-07T19:02:00,16,J0_1,rl,NS-Green,14.04,14.28,13.48,13.3,13.04,49.54,60,False
